winner_id,tourney_id,match_won
105777,2016-0421,3
106261,2016-0421,3
105683,2016-0421,2
104330,2016-0421,2
104607,2016-0421,2
105065,2016-0421,2
106058,2016-0421,2
103333,2016-0421,2
105292,2016-0421,2
106071,2016-0421,2
105877,2016-0421,2
105731,2016-0421,1
133430,2016-0421,1
105166,2016-0421,1
104229,2016-0421,1
104545,2016-0421,1
105023,2016-0421,1
106298,2016-0421,1
104180,2016-0421,1
105676,2016-0421,1
105229,2016-0421,1
104999,2016-0421,1
106432,2016-0421,1
105902,2016-0421,1
104804,2016-0421,1
104022,2016-0421,1
105385,2016-0421,1
105577,2016-0421,1
105031,2016-0421,1
104926,2016-0421,1
104945,2016-0421,1
105572,2016-0421,1
104745,2016-0425,5
103285,2016-0425,4
105453,2016-0425,4
111575,2016-0425,4
105916,2016-0425,3
104291,2016-0425,3
104259,2016-0425,3
105332,2016-0425,3
106398,2016-0425,2
104926,2016-0425,2
105723,2016-0425,2
100644,2016-0425,2
105526,2016-0425,2
105238,2016-0425,2
105015,2016-0425,2
103656,2016-0425,2
104273,2016-0425,1
105515,2016-0425,1
104678,2016-0425,1
106353,2016-0425,1
104871,2016-0425,1
104719,2016-0425,1
104655,2016-0425,1
103607,2016-0425,1
104559,2016-0425,1
104022,2016-0425,1
104471,2016-0425,1
105438,2016-0425,1
106426,2016-0425,1
105807,2016-0425,1
105077,2016-0425,1
105217,2016-0425,1
103852,2016-0425,1
105477,2016-0425,1
105539,2016-0425,1
105952,2016-0425,1
105223,2016-0429,5
104735,2016-0429,4
106058,2016-0429,4
105992,2016-0429,3
105132,2016-0429,3
104731,2016-0429,2
105671,2016-0429,2
105777,2016-0429,2
106361,2016-0429,2
100644,2016-0429,2
105173,2016-0429,1
104897,2016-0429,1
103333,2016-0429,1
144707,2016-0429,1
104460,2016-0429,1
105113,2016-0429,1
105430,2016-0429,1
104597,2016-0429,1
104978,2016-0429,1
105916,2016-0429,1
104926,2016-0439,4
105413,2016-0439,4
105671,2016-0439,3
105677,2016-0439,3
104122,2016-0439,3
105807,2016-0439,2
105426,2016-0439,2
106000,2016-0439,2
105952,2016-0439,1
104559,2016-0439,1
105311,2016-0439,1
104007,2016-0439,1
104871,2016-0439,1
105782,2016-0439,1
105175,2016-0439,1
105341,2016-0439,1
105373,2016-0439,1
105421,2016-0439,1
105678,2016-0439,1
104919,2016-0439,1
106210,2016-0439,1
